"•ÈÀ""Data Source""",World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/11/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bolivia,BOL,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,66,,,,,,,,,,80.2,,90.5,,,
Brazil,BRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,97.4,,,,,,,,,,98,,99.5,,,
Barbados,BRB,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.13573,,,,,,,,,,85.4112,,,,,,,,,,87.87328,,90.87544,,,
Brunei Darussalam,BRN,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.6913,,,,,,,,,,69.36274,,,,,,,,,,72.6,,76.16138,,,
Bhutan,BTN,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.61566,,,,,,,,,,68.45585,,,,,,,,,,72,,75.56256,,,
Botswana,BWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.71566,,,,,,,,,,39.55584,,,,,,,,,,43.1,,53.24,,,
Central African Republic,CAF,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,6,,,,,,,,,,9.5,,10.8,,,
Canada,CAN,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,100,,100,,,
Central Europe and the Baltics,CEB,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,100,,100,,,
Switzerland,CHE,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,100,,100,,,
Channel Islands,CHI,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,100,,100,,,
Chile,CHL,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,98.8,,,,,,,,,,99,,99.6,,,
China,CHN,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.23774,,,,,,,,,,98,,,,,,,,,,99.7,,100,,,
Cote d'Ivoire,CIV,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,,,,,,,,,,51.4,,,,,,,,,,58.9,,55.8,,,
Cameroon,CMR,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,46.2,,,,,,,,,,49,,53.7,,,
"Congo, Rep.",COG,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.38774,,,,,,,,,,20.9,,,,,,,,,,37.1,,41.6,,,
Colombia,COL,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,97,,,,,,,,,,96.7,,97,,,
Comoros,COM,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.95982,,,,,,,,,,44.8,,,,,,,,,,51.5,,69.3,,,
Cabo Verde,CPV,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.18774,,,,,,,,,,58.6,,,,,,,,,,67,,70.56256,,,
Costa Rica,CRI,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.32578,,,,,,,,,,98,,,,,,,,,,98,,99.5,,,
Caribbean small states,CSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.07630825,,,,,,,,,,87.95732462,,,,,,,,,,92.38232581,,93.45615719,,,
Cuba,CUB,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.86102,,,,,,,,,,97,,,,,,,,,,100,,100,,,
Curacao,CUW,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.13573,,,,,,,,,,85.4112,,,,,,,,,,87.87328,,90.87544,,,
Cayman Islands,CYM,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.13573,,,,,,,,,,85.4112,,,,,,,,,,87.87328,,90.87544,,,
Cyprus,CYP,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.36144,,,,,,,,,,100,,,,,,,,,,100,,100,,,
Czech Republic,CZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,100,,100,,,
Germany,DEU,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,100,,100,,,
Djibouti,DJI,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.31567,,,,,,,,,,46.15585,,,,,,,,,,49.7,,53.26256,,,
Dominica,DMA,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.56102,,,,,,,,,,87.7,,,,,,,,,,91.83897,,92.66676,,,
Denmark,DNK,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,100,,100,,,
Dominican Republic,DOM,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.2,,,,,,,,,,90,,,,,,,,,,98,,98,,,
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.03774,,,,,,,,,,98,,,,,,,,,,99.3,,100,,,
East Asia & Pacific (developing only),EAP,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.11880254,,,,,,,,,,91.34922932,,,,,,,,,,94.79999737,,95.71378454,,,
East Asia & Pacific (all income levels),EAS,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.47506086,,,,,,,,,,92.17332628,,,,,,,,,,95.29011756,,96.11853664,,,
Europe & Central Asia (developing only),ECA,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.00400913,,,,,,,,,,98.71520929,,,,,,,,,,99.91222661,,100,,,
Europe & Central Asia (all income levels),ECS,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.15336595,,,,,,,,,,99.63324927,,,,,,,,,,99.97469887,,100,,,
Ecuador,ECU,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,94,,,,,,,,,,97,,97.2,,,
"Egypt, Arab Rep.",EGY,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.5,,,,,,,,,,97.7,,,,,,,,,,99.6,,100,,,
Euro area,EMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.99104605,,,,,,,,,,100,,,,,,,,,,100,,100,,,
Eritrea,ERI,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.9,,,,,,,,,,32.2,,,,,,,,,,32.5,,36.0768,,,
Spain,ESP,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,100,,100,,,
Estonia,EST,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,100,,100,,,
Ethiopia,ETH,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,12.7,,,,,,,,,,23,,26.56256,,,
European Union,EUU,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.99416438,,,,,,,,,,100,,,,,,,,,,100,,100,,,
Fragile and conflict affected situations,FCS,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.97250108,,,,,,,,,,37.64870136,,,,,,,,,,40.48743828,,42.79814574,,,
Finland,FIN,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,100,,100,,,
Fiji,FJI,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.85883,,,,,,,,,,52.53027,,,,,,,,,,55.8,,59.32891,,,
France,FRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,100,,100,,,
Faroe Islands,FRO,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,100,,100,,,
"Micronesia, Fed. Sts.",FSM,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.85883,,,,,,,,,,52.53027,,,,,,,,,,55.8,,59.32891,,,
Gabon,GAB,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.98774,,,,,,,,,,73.6,,,,,,,,,,81.6,,89.3,,,
United Kingdom,GBR,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,100,,100,,,
Georgia,GEO,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.05982,,,,,,,,,,99.9,,,,,,,,,,100,,100,,,
Ghana,GHA,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.6,,,,,,,,,,45,,,,,,,,,,60.5,,64.06256,,,
Guinea,GIN,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.68774,,,,,,,,,,16.4,,,,,,,,,,20.2,,26.2,,,
"Gambia, The",GMB,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,,,,,,,,,,34.3,,,,,,,,,,31,,34.5268,,,
Guinea-Bissau,GNB,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.65982,,,,,,,,,,53.5,,,,,,,,,,57,,60.60672,,,
Equatorial Guinea,GNQ,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.89426,,,,,,,,,,61.03323,,,,,,,,,,65.1722,,66,,,
Greece,GRC,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,100,,100,,,
Grenada,GRD,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.13573,,,,,,,,,,85.4112,,,,,,,,,,87.87328,,90.87544,,,
Greenland,GRL,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,100,,100,,,
Guatemala,GTM,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.99245,,,,,,,,,,78,,,,,,,,,,78.3,,78.5,,,
Guam,GUM,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.85883,,,,,,,,,,52.53027,,,,,,,,,,55.8,,59.32891,,,
Guyana,GUY,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,74.5,,,,,,,,,,77,,79.46677,,,
High income,HIC,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.97163431,,,,,,,,,,99.33094504,,,,,,,,,,99.49385894,,99.82300244,,,
"Hong Kong SAR, China",HKG,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,100,,100,,,
Honduras,HND,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,67,,,,,,,,,,80,,82.2,,,
Heavily indebted poor countries (HIPC),HPC,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.48015336,,,,,,,,,,20.18406215,,,,,,,,,,26.22111676,,29.15387311,,,
Croatia,HRV,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,100,,100,,,
Haiti,HTI,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3,,,,,,,,,,31.4,,,,,,,,,,33.9,,37.9,,,
Hungary,HUN,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,100,,100,,,
Indonesia,IDN,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.86,,,,,,,,,,87.6,,,,,,,,,,94.2,,96,,,
Isle of Man,IMN,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,100,,100,,,
India,IND,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9,,,,,,,,,,62.3,,,,,,,,,,75,,78.7,,,
Not classified,INX,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,100,,100,,,
"Iran, Islamic Rep.",IRN,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.53774,,,,,,,,,,97.9,,,,,,,,,,98.4,,100,,,
Iraq,IRQ,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.61566,,,,,,,,,,94.45585,,,,,,,,,,98,,100,,,
Iceland,ISL,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,100,,100,,,
Israel,ISR,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.36144,,,,,,,,,,100,,,,,,,,,,100,,100,,,
Italy,ITA,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,100,,100,,,
Jamaica,JAM,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,86,,,,,,,,,,92,,92.63344,,,
Jordan,JOR,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.83774,,,,,,,,,,99.5,,,,,,,,,,99.4,,99.5,,,
Japan,JPN,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,100,,100,,,
Kazakhstan,KAZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.15982,,,,,,,,,,97,,,,,,,,,,100,,100,,,
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,,,,,,,,,,14.5,,,,,,,,,,23,,23,,,
Kyrgyz Republic,KGZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.15982,,,,,,,,,,100,,,,,,,,,,100,,100,,,
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.23774,,,,,,,,,,16.6,,,,,,,,,,31.1,,31.1,,,
Kiribati,KIR,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.85883,,,,,,,,,,52.53027,,,,,,,,,,55.8,,59.32891,,,
St. Kitts and Nevis,KNA,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.13573,,,,,,,,,,85.4112,,,,,,,,,,87.87328,,90.87544,,,
"Korea, Rep.",KOR,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.23774,,,,,,,,,,98,,,,,,,,,,99.7,,100,,,
Kosovo,KSV,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,100,,100,,,
Kuwait,KWT,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.22775,,,,,,,,,,90.89918,,,,,,,,,,94.1,,97.69783,,,
Latin America & Caribbean (developing only),LAC,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.47673234,,,,,,,,,,92.30368663,,,,,,,,,,94.37858064,,95.82870121,,,
Lao PDR,LAO,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.53774,,,,,,,,,,46.3,,,,,,,,,,66,,70,,,
Lebanon,LBN,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.83774,,,,,,,,,,95,,,,,,,,,,99.9,,100,,,
Liberia,LBR,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,0.5558459,,,,,,,,,,4.1,,9.8,,,
Libya,LBY,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.95982,,,,,,,,,,99.8,,,,,,,,,,100,,100,,,
St. Lucia,LCA,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.13573,,,,,,,,,,85.4112,,,,,,,,,,87.87328,,90.87544,,,
